,Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
3,MLPClassifier,0.8401,0.8427,0.8401,0.8407,0.818,0.8179,0.818,0.8173,0.85,0.8508,0.85,0.849,0.952,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 847, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=847)"
1,KNeighborsClassifier,0.884,0.8914,0.884,0.8842,0.9203,0.9202,0.9203,0.9198,0.8333,0.8413,0.8333,0.834,0.958,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
4,DecisionTreeClassifier,0.9124,0.9147,0.9124,0.9123,0.9303,0.9326,0.9303,0.9302,0.8333,0.8444,0.8333,0.8345,0.9724,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 667}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=667)"
5,RandomForestClassifier,0.9767,0.977,0.9767,0.9767,0.9826,0.9829,0.9826,0.9826,0.8333,0.8576,0.8333,0.8346,0.9958,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 629}","RandomForestClassifier(n_estimators=20, random_state=629)"
0,DecisionTreeClassifier,0.8894,0.8953,0.8894,0.8889,0.8116,0.8402,0.8116,0.8071,0.8333,0.8426,0.8333,0.8341,0.9439,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 96}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=96)"
0,DecisionTreeClassifier,0.8304,0.8474,0.8304,0.8347,0.8163,0.8366,0.8163,0.8191,0.8333,0.8342,0.8333,0.8323,0.9415,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 792}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=792)"
1,KNeighborsClassifier,0.9158,0.9195,0.9158,0.9161,0.8924,0.8975,0.8924,0.8932,0.8333,0.8408,0.8333,0.8326,0.9721,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
0,KNeighborsClassifier,0.9219,0.9245,0.9219,0.9218,0.9271,0.9276,0.9271,0.9271,0.8333,0.8486,0.8333,0.8354,0.97,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
4,DecisionTreeClassifier,0.95,0.951,0.95,0.9499,0.9538,0.9549,0.9538,0.9538,0.8333,0.862,0.8333,0.8361,0.9887,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 183}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=183)"
0,RandomForestClassifier,0.8763,0.8781,0.8763,0.8767,0.8736,0.8749,0.8736,0.874,0.8167,0.8215,0.8167,0.8165,0.9606,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 386}","RandomForestClassifier(n_estimators=20, random_state=386)"
3,KNeighborsClassifier,0.9684,0.9688,0.9684,0.9684,0.9698,0.9704,0.9698,0.9697,0.8167,0.8396,0.8167,0.8193,0.9902,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
2,RandomForestClassifier,0.9021,0.9072,0.9021,0.9012,0.9203,0.9253,0.9203,0.921,0.8167,0.8253,0.8167,0.8183,0.9695,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 681}","RandomForestClassifier(n_estimators=20, random_state=681)"
5,DecisionTreeClassifier,0.9201,0.9222,0.9201,0.9202,0.9354,0.9363,0.9354,0.9354,0.8,0.8417,0.8,0.806,0.97,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 14}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=14)"
6,RandomForestClassifier,0.9422,0.943,0.9422,0.9421,0.9303,0.9334,0.9303,0.9299,0.8,0.8013,0.8,0.8003,0.9833,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 139}","RandomForestClassifier(n_estimators=10, random_state=139)"
0,KNeighborsClassifier,0.8776,0.8814,0.8776,0.8784,0.8845,0.8864,0.8845,0.8851,0.8,0.8458,0.8,0.8033,0.9605,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', p=1)"
3,DecisionTreeClassifier,0.895,0.8989,0.895,0.8949,0.875,0.8775,0.875,0.8751,0.8,0.8052,0.8,0.7985,0.9628,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 955}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=955)"
2,RandomForestClassifier,0.9331,0.9346,0.9331,0.9333,0.9132,0.9197,0.9132,0.9141,0.8,0.8056,0.8,0.799,0.983,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 187}","RandomForestClassifier(n_estimators=20, random_state=187)"
4,RandomForestClassifier,0.9129,0.9182,0.9129,0.912,0.8986,0.9006,0.8986,0.8986,0.8,0.8035,0.8,0.8005,0.9641,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 5, 'random_state': 371}","RandomForestClassifier(n_estimators=5, random_state=371)"
3,DecisionTreeClassifier,0.8859,0.8936,0.8859,0.8851,0.8768,0.8829,0.8768,0.8747,0.8,0.8038,0.8,0.801,0.9458,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 203}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=203)"
4,KNeighborsClassifier,0.9677,0.9683,0.9677,0.9676,0.9698,0.9702,0.9698,0.9697,0.8,0.8276,0.8,0.8029,0.9899,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
6,MLPClassifier,0.8829,0.8839,0.8829,0.8828,0.8835,0.8852,0.8835,0.8838,0.8,0.8346,0.8,0.7988,0.9719,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 156, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=156)"
0,LogisticRegression,0.8,0.8307,0.8,0.8044,0.8092,0.8367,0.8092,0.8128,0.8,0.8,0.8,0.8,0.9192,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 961, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=961)"
3,LogisticRegression,0.8014,0.8283,0.8014,0.8049,0.8163,0.8443,0.8163,0.8196,0.8,0.8051,0.8,0.7977,0.9131,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 386, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=386)"
2,RandomForestClassifier,0.8252,0.8413,0.8252,0.8284,0.818,0.8333,0.818,0.8221,0.8,0.8144,0.8,0.7981,0.9405,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 5, 'random_state': 728}","RandomForestClassifier(n_estimators=5, random_state=728)"
1,MLPClassifier,0.7934,0.8479,0.7934,0.7961,0.7857,0.812,0.7857,0.7878,0.8,0.8071,0.8,0.801,0.9256,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 484, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=484)"
0,DecisionTreeClassifier,0.824,0.8436,0.824,0.828,0.8095,0.8386,0.8095,0.815,0.7833,0.7973,0.7833,0.7857,0.9148,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 652}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=652)"
5,RandomForestClassifier,0.8986,0.9049,0.8986,0.8977,0.9203,0.9233,0.9203,0.9209,0.7833,0.8401,0.7833,0.7833,0.9669,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 816}","RandomForestClassifier(n_estimators=20, random_state=816)"
4,DecisionTreeClassifier,0.8915,0.8946,0.8915,0.8915,0.9132,0.9133,0.9132,0.9133,0.7833,0.7877,0.7833,0.7814,0.9605,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 628}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=628)"
5,RandomForestClassifier,0.9271,0.9296,0.9271,0.9269,0.9479,0.9496,0.9479,0.9481,0.7833,0.7832,0.7833,0.7802,0.9829,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 354}","RandomForestClassifier(n_estimators=20, random_state=354)"
4,KNeighborsClassifier,0.8189,0.8362,0.8189,0.823,0.8367,0.8756,0.8367,0.8365,0.7833,0.7915,0.7833,0.7803,0.9324,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
7,RandomForestClassifier,0.9435,0.9452,0.9435,0.9433,0.9235,0.924,0.9235,0.9234,0.7833,0.8254,0.7833,0.7877,0.9886,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 830}","RandomForestClassifier(n_estimators=20, random_state=830)"
7,RandomForestClassifier,0.9772,0.9774,0.9772,0.9771,0.9799,0.9801,0.9799,0.9799,0.7833,0.8065,0.7833,0.7883,0.9953,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 383}","RandomForestClassifier(n_estimators=10, random_state=383)"
1,KNeighborsClassifier,0.8786,0.882,0.8786,0.8794,0.8781,0.8829,0.8781,0.8789,0.7833,0.7838,0.7833,0.7832,0.959,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', p=1)"
10,MLPClassifier,0.8325,0.8354,0.8325,0.8324,0.8418,0.8416,0.8418,0.8416,0.7833,0.7981,0.7833,0.7705,0.9484,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 715, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=715)"
8,KNeighborsClassifier,0.9447,0.9467,0.9447,0.9448,0.9303,0.9315,0.9303,0.9301,0.7833,0.8002,0.7833,0.7833,0.9817,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
0,DecisionTreeClassifier,0.8078,0.8209,0.8078,0.8099,0.8316,0.8449,0.8316,0.8341,0.7833,0.8361,0.7833,0.7871,0.9332,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 615}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=615)"
9,KNeighborsClassifier,0.9758,0.9761,0.9758,0.9757,0.9806,0.9808,0.9806,0.9805,0.7833,0.7884,0.7833,0.7846,0.9935,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
8,DecisionTreeClassifier,0.949,0.9502,0.949,0.9489,0.9491,0.9499,0.9491,0.9491,0.7833,0.7902,0.7833,0.7855,0.9882,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 232}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=232)"
1,KNeighborsClassifier,0.8482,0.8515,0.8482,0.849,0.8537,0.8544,0.8537,0.8537,0.7833,0.8187,0.7833,0.7862,0.9517,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
2,KNeighborsClassifier,0.8448,0.8501,0.8448,0.8464,0.8333,0.8391,0.8333,0.8351,0.7833,0.7851,0.7833,0.7775,0.9463,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', p=1)"
6,MLPClassifier,0.8651,0.8679,0.8651,0.8654,0.8898,0.8958,0.8898,0.8904,0.7833,0.7833,0.7833,0.7811,0.9645,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 402, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=402)"
5,RandomForestClassifier,0.9655,0.966,0.9655,0.9654,0.9692,0.9694,0.9692,0.9692,0.7833,0.8141,0.7833,0.7854,0.9931,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 768}","RandomForestClassifier(n_estimators=20, random_state=768)"
0,KNeighborsClassifier,0.8713,0.8779,0.8713,0.8714,0.7826,0.7996,0.7826,0.7871,0.7833,0.7873,0.7833,0.7831,0.9567,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
11,SVC,0.7883,0.8006,0.7883,0.7891,0.7721,0.7707,0.7721,0.771,0.7667,0.8627,0.7667,0.7692,0.901,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 675}","SVC(C=10, kernel='linear', probability=True, random_state=675)"
2,KNeighborsClassifier,0.8082,0.8374,0.8082,0.8095,0.8061,0.8187,0.8061,0.8095,0.7667,0.7765,0.7667,0.7672,0.9221,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=11, weights='distance')"
1,DecisionTreeClassifier,0.8328,0.8488,0.8328,0.8353,0.8384,0.8533,0.8384,0.8409,0.7667,0.8132,0.7667,0.7587,0.9421,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 425}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=425)"
9,MLPClassifier,0.8605,0.8646,0.8605,0.8603,0.8691,0.8699,0.8691,0.868,0.7667,0.8027,0.7667,0.7659,0.9626,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 162, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=162)"
8,RandomForestClassifier,0.9698,0.9702,0.9698,0.9698,0.9664,0.9671,0.9664,0.9664,0.7667,0.7687,0.7667,0.7674,0.9926,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 829}","RandomForestClassifier(n_estimators=20, random_state=829)"
2,RandomForestClassifier,0.8817,0.8831,0.8817,0.8822,0.8745,0.8764,0.8745,0.875,0.7667,0.7655,0.7667,0.7657,0.966,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 294}","RandomForestClassifier(n_estimators=20, random_state=294)"
1,DecisionTreeClassifier,0.8604,0.8633,0.8604,0.8612,0.8604,0.863,0.8604,0.8612,0.7667,0.7848,0.7667,0.7683,0.9606,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 384}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=384)"
5,DecisionTreeClassifier,0.8278,0.8457,0.8278,0.8293,0.8214,0.8381,0.8214,0.8243,0.7667,0.7897,0.7667,0.7637,0.9392,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 781}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=781)"
6,RandomForestClassifier,0.9384,0.9415,0.9384,0.9382,0.9167,0.919,0.9167,0.9167,0.7667,0.7875,0.7667,0.7675,0.9803,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 833}","RandomForestClassifier(n_estimators=20, random_state=833)"
0,DecisionTreeClassifier,0.8224,0.8423,0.8224,0.8257,0.8188,0.8386,0.8188,0.8222,0.7667,0.7796,0.7667,0.7587,0.9382,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 619}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=619)"
8,KNeighborsClassifier,0.9271,0.9294,0.9271,0.9272,0.9028,0.9086,0.9028,0.9028,0.7667,0.7798,0.7667,0.7654,0.9732,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
7,MLPClassifier,0.8143,0.8178,0.8143,0.814,0.8611,0.8628,0.8611,0.8612,0.7667,0.7817,0.7667,0.7657,0.9384,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 936, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=936)"
2,KNeighborsClassifier,0.8785,0.8815,0.8785,0.8793,0.873,0.8773,0.873,0.8739,0.7667,0.819,0.7667,0.7682,0.9606,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', p=1)"
7,DecisionTreeClassifier,0.9425,0.9434,0.9425,0.9425,0.9497,0.95,0.9497,0.9496,0.7667,0.7934,0.7667,0.7724,0.9845,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 526}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=526)"
12,LogisticRegression,0.7751,0.7832,0.7751,0.7761,0.7738,0.7764,0.7738,0.7742,0.7667,0.8627,0.7667,0.7692,0.9123,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 636, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=636)"
9,SVC,0.7777,0.7887,0.7777,0.7781,0.801,0.8164,0.801,0.8031,0.7667,0.8424,0.7667,0.7729,0.8975,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 439}","SVC(C=10, kernel='linear', probability=True, random_state=439)"
1,RandomForestClassifier,0.821,0.8412,0.821,0.8245,0.8146,0.8423,0.8146,0.8185,0.7667,0.7848,0.7667,0.7683,0.9361,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 10, 'random_state': 264}","RandomForestClassifier(n_estimators=10, random_state=264)"
3,RandomForestClassifier,0.8546,0.858,0.8546,0.8545,0.8282,0.8285,0.8282,0.8284,0.7667,0.7712,0.7667,0.7645,0.9504,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 954}","RandomForestClassifier(n_estimators=10, random_state=954)"
1,DecisionTreeClassifier,0.8303,0.8483,0.8303,0.8337,0.8086,0.8339,0.8086,0.8124,0.75,0.8056,0.75,0.7389,0.9395,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 371}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=371)"
10,DecisionTreeClassifier,0.9428,0.9436,0.9428,0.9427,0.943,0.9441,0.943,0.943,0.75,0.7703,0.75,0.7483,0.9823,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 923}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=923)"
4,MLPClassifier,0.8207,0.8566,0.8207,0.8206,0.825,0.8861,0.825,0.8244,0.75,0.8025,0.75,0.733,0.9386,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 909, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=909)"
3,KNeighborsClassifier,0.8252,0.841,0.8252,0.8281,0.8226,0.8625,0.8226,0.8242,0.75,0.7792,0.75,0.7367,0.9342,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=15, weights='distance')"
