,Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
0,KNeighborsClassifier,0.8882,0.8904,0.8882,0.8882,0.8827,0.8863,0.8827,0.8835,0.85,0.8652,0.85,0.8483,0.9657,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
0,RandomForestClassifier,0.9427,0.9452,0.9427,0.9427,0.934,0.9341,0.934,0.9339,0.85,0.8542,0.85,0.8506,0.9896,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 627}","RandomForestClassifier(n_estimators=20, random_state=627)"
1,RandomForestClassifier,0.898,0.901,0.898,0.8986,0.8997,0.9011,0.8997,0.9,0.85,0.8528,0.85,0.8482,0.9664,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 10, 'random_state': 594}","RandomForestClassifier(n_estimators=10, random_state=594)"
0,KNeighborsClassifier,0.9132,0.9151,0.9132,0.9137,0.9157,0.9175,0.9157,0.9162,0.85,0.8599,0.85,0.8507,0.982,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
3,KNeighborsClassifier,0.9849,0.9852,0.9849,0.9849,0.9823,0.9824,0.9823,0.9822,0.85,0.8852,0.85,0.8518,0.9952,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
4,DecisionTreeClassifier,0.9617,0.9621,0.9617,0.9616,0.9605,0.9606,0.9605,0.9604,0.85,0.8634,0.85,0.8505,0.9911,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 600}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=600)"
2,LogisticRegression,0.8658,0.866,0.8658,0.8657,0.8596,0.8598,0.8596,0.8596,0.85,0.8634,0.85,0.8505,0.96,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 419, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=419)"
7,LogisticRegression,0.87,0.8701,0.87,0.8698,0.8691,0.8689,0.8691,0.8688,0.8333,0.8594,0.8333,0.8298,0.9616,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 458, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=458)"
8,MLPClassifier,0.8852,0.891,0.8852,0.8851,0.8605,0.8721,0.8605,0.861,0.8333,0.8361,0.8333,0.8315,0.9701,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 668, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=668)"
7,LogisticRegression,0.878,0.8785,0.878,0.8775,0.9048,0.9048,0.9048,0.9043,0.8333,0.8365,0.8333,0.8339,0.957,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 782, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=782)"
5,DecisionTreeClassifier,0.9584,0.959,0.9584,0.9584,0.9572,0.9578,0.9572,0.9571,0.8333,0.872,0.8333,0.838,0.9902,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 506}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=506)"
6,LogisticRegression,0.8644,0.8651,0.8644,0.864,0.8622,0.863,0.8622,0.8625,0.8333,0.8386,0.8333,0.8348,0.955,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 504, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=504)"
5,SVC,0.8839,0.8848,0.8839,0.8837,0.8946,0.8951,0.8946,0.8944,0.8333,0.8386,0.8333,0.8348,0.947,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 285}","SVC(C=10, kernel='linear', probability=True, random_state=285)"
4,DecisionTreeClassifier,0.9264,0.9278,0.9264,0.9265,0.932,0.9332,0.932,0.9318,0.8333,0.8581,0.8333,0.8369,0.9773,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 856}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=856)"
7,SVC,0.873,0.8743,0.873,0.8733,0.8663,0.8671,0.8663,0.8664,0.8333,0.8383,0.8333,0.831,0.9469,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 866}","SVC(C=10, kernel='linear', probability=True, random_state=866)"
1,RandomForestClassifier,0.9197,0.9209,0.9197,0.92,0.9244,0.9252,0.9244,0.9244,0.8333,0.8417,0.8333,0.832,0.979,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 719}","RandomForestClassifier(n_estimators=20, random_state=719)"
3,KNeighborsClassifier,0.9734,0.974,0.9734,0.9733,0.9765,0.9767,0.9765,0.9764,0.8333,0.8608,0.8333,0.8356,0.9903,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
1,RandomForestClassifier,0.9349,0.9374,0.9349,0.9348,0.9375,0.9376,0.9375,0.9375,0.8333,0.8383,0.8333,0.8327,0.982,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 10, 'random_state': 963}","RandomForestClassifier(n_estimators=10, random_state=963)"
4,KNeighborsClassifier,0.9768,0.9773,0.9768,0.9767,0.9793,0.9795,0.9793,0.9792,0.8333,0.8769,0.8333,0.8349,0.9924,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
5,DecisionTreeClassifier,0.9571,0.9576,0.9571,0.957,0.9508,0.9511,0.9508,0.9508,0.8333,0.8444,0.8333,0.8345,0.9885,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 914}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=914)"
6,LogisticRegression,0.8641,0.8644,0.8641,0.8639,0.8563,0.8564,0.8563,0.8563,0.8333,0.8524,0.8333,0.8338,0.9605,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 248, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=248)"
0,DecisionTreeClassifier,0.8431,0.8532,0.8431,0.8453,0.8282,0.8393,0.8282,0.8314,0.8333,0.8342,0.8333,0.8323,0.9475,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 767}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=767)"
6,RandomForestClassifier,0.9858,0.9859,0.9858,0.9857,0.9853,0.9853,0.9853,0.9853,0.8333,0.8732,0.8333,0.8379,0.9978,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 73}","RandomForestClassifier(n_estimators=20, random_state=73)"
1,DecisionTreeClassifier,0.8914,0.8946,0.8914,0.8918,0.8831,0.8862,0.8831,0.8839,0.8167,0.8205,0.8167,0.8172,0.971,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 571}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=571)"
0,KNeighborsClassifier,0.9162,0.9179,0.9162,0.9166,0.9038,0.9046,0.9038,0.9041,0.8167,0.8412,0.8167,0.8176,0.9697,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
12,MLPClassifier,0.8929,0.8977,0.8929,0.8928,0.9004,0.9074,0.9004,0.9005,0.8167,0.825,0.8167,0.8153,0.9776,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 568, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=568)"
11,DecisionTreeClassifier,0.9388,0.9394,0.9388,0.9386,0.9286,0.9293,0.9286,0.9281,0.8167,0.8203,0.8167,0.8162,0.9771,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 153}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=153)"
11,MLPClassifier,0.8754,0.8791,0.8754,0.8754,0.8926,0.8957,0.8926,0.8922,0.8167,0.8172,0.8167,0.8155,0.9727,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 455, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=455)"
10,SVC,0.8673,0.869,0.8673,0.8677,0.8652,0.8671,0.8652,0.8652,0.8167,0.8406,0.8167,0.8162,0.9432,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 560}","SVC(C=10, kernel='linear', probability=True, random_state=560)"
9,RandomForestClassifier,0.9792,0.9794,0.9792,0.9791,0.9827,0.9829,0.9827,0.9826,0.8167,0.8681,0.8167,0.819,0.9964,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 939}","RandomForestClassifier(n_estimators=20, random_state=939)"
8,RandomForestClassifier,0.9815,0.9817,0.9815,0.9815,0.9838,0.9839,0.9838,0.9837,0.8167,0.8642,0.8167,0.822,0.9963,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 182}","RandomForestClassifier(n_estimators=20, random_state=182)"
2,DecisionTreeClassifier,0.8997,0.903,0.8997,0.9001,0.8896,0.8934,0.8896,0.8896,0.8167,0.8367,0.8167,0.8208,0.9773,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 180}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=180)"
3,LogisticRegression,0.7789,0.7783,0.7789,0.7779,0.7664,0.7661,0.7664,0.7649,0.8167,0.8246,0.8167,0.813,0.9215,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 416, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=416)"
4,KNeighborsClassifier,0.9122,0.9137,0.9122,0.9126,0.9143,0.9147,0.9143,0.9145,0.8167,0.8278,0.8167,0.813,0.973,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
0,RandomForestClassifier,0.8551,0.8628,0.8551,0.8559,0.8333,0.8451,0.8333,0.8346,0.8167,0.8335,0.8167,0.8141,0.9438,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 10, 'random_state': 751}","RandomForestClassifier(n_estimators=10, random_state=751)"
10,SVC,0.8707,0.8726,0.8707,0.8713,0.8469,0.8477,0.8469,0.8473,0.8167,0.8367,0.8167,0.8208,0.9423,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 448}","SVC(C=10, kernel='linear', probability=True, random_state=448)"
1,RandomForestClassifier,0.9185,0.9224,0.9185,0.9185,0.8841,0.9019,0.8841,0.885,0.8167,0.8208,0.8167,0.8161,0.9746,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 167}","RandomForestClassifier(n_estimators=20, random_state=167)"
2,DecisionTreeClassifier,0.9115,0.9146,0.9115,0.9114,0.8889,0.8986,0.8889,0.8899,0.8167,0.8172,0.8167,0.8166,0.9692,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 873}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=873)"
3,KNeighborsClassifier,0.8287,0.8377,0.8287,0.8306,0.818,0.8273,0.818,0.8211,0.8167,0.8194,0.8167,0.8142,0.9412,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
2,LogisticRegression,0.7993,0.8124,0.7993,0.8023,0.8044,0.8257,0.8044,0.8085,0.8167,0.8157,0.8167,0.8147,0.9363,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 843, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=843)"
1,RandomForestClassifier,0.8198,0.8317,0.8198,0.8228,0.881,0.8902,0.881,0.8827,0.8167,0.8195,0.8167,0.8148,0.9428,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 541}","RandomForestClassifier(n_estimators=20, random_state=541)"
0,KNeighborsClassifier,0.8663,0.8709,0.8663,0.8658,0.8368,0.8378,0.8368,0.8371,0.8167,0.8212,0.8167,0.8146,0.9498,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
9,RandomForestClassifier,0.9545,0.9557,0.9545,0.9544,0.9609,0.961,0.9609,0.9606,0.8167,0.8484,0.8167,0.8214,0.9901,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 289}","RandomForestClassifier(n_estimators=20, random_state=289)"
2,DecisionTreeClassifier,0.8842,0.8886,0.8842,0.8827,0.7971,0.8041,0.7971,0.7981,0.8167,0.822,0.8167,0.8148,0.9478,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 636}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=636)"
0,RandomForestClassifier,0.8287,0.8391,0.8287,0.8312,0.8384,0.8461,0.8384,0.8408,0.8167,0.8201,0.8167,0.8173,0.9429,smote,1000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 5, 'random_state': 41}","RandomForestClassifier(n_estimators=5, random_state=41)"
2,DecisionTreeClassifier,0.8537,0.8585,0.8537,0.8549,0.8639,0.8697,0.8639,0.8652,0.8167,0.8299,0.8167,0.8165,0.9553,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 652}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=652)"
8,MLPClassifier,0.9194,0.9238,0.9194,0.9196,0.9257,0.9292,0.9257,0.9255,0.8167,0.8163,0.8167,0.8162,0.9837,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 734, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=734)"
9,SVC,0.8753,0.8764,0.8753,0.8756,0.8718,0.8724,0.8718,0.872,0.8167,0.8175,0.8167,0.816,0.9501,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 611}","SVC(C=10, kernel='linear', probability=True, random_state=611)"
5,MLPClassifier,0.8535,0.86,0.8535,0.8549,0.8534,0.8644,0.8534,0.8555,0.8,0.7978,0.8,0.7966,0.9574,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 766, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=766)"
0,KNeighborsClassifier,0.8387,0.8497,0.8387,0.8415,0.829,0.837,0.829,0.8319,0.8,0.8054,0.8,0.7944,0.9468,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
4,SVC,0.8481,0.8522,0.8481,0.8482,0.8438,0.8459,0.8438,0.844,0.8,0.8079,0.8,0.7992,0.9389,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 388}","SVC(C=10, kernel='linear', probability=True, random_state=388)"
3,KNeighborsClassifier,0.9089,0.9124,0.9089,0.9086,0.8854,0.8907,0.8854,0.8854,0.8,0.8124,0.8,0.7994,0.9655,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
5,KNeighborsClassifier,0.8822,0.8855,0.8822,0.8828,0.9048,0.9082,0.9048,0.9054,0.8,0.8002,0.8,0.7955,0.9693,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
3,RandomForestClassifier,0.8958,0.8974,0.8958,0.896,0.9048,0.9057,0.9048,0.9049,0.8,0.8288,0.8,0.8034,0.9707,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 851}","RandomForestClassifier(n_estimators=20, random_state=851)"
2,KNeighborsClassifier,0.9127,0.9146,0.9127,0.9133,0.906,0.9104,0.906,0.9068,0.8,0.8083,0.8,0.7987,0.9785,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
12,SVC,0.8623,0.8659,0.8623,0.8629,0.8741,0.8751,0.8741,0.8745,0.8,0.8068,0.8,0.8011,0.938,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 802}","SVC(C=10, kernel='linear', probability=True, random_state=802)"
4,KNeighborsClassifier,0.8642,0.8685,0.8642,0.8639,0.8623,0.8661,0.8623,0.8626,0.8,0.8101,0.8,0.8019,0.959,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
3,DecisionTreeClassifier,0.8696,0.8756,0.8696,0.8685,0.8986,0.9038,0.8986,0.9,0.8,0.8595,0.8,0.8026,0.9381,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 889}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=889)"
